#Read position (bp)	Clipping profile
0.0	4.7444183313748525
1.0	2.629259694477086
2.0	2.100470035252644
3.0	1.3072855464159812
4.0	1.2338425381903642
5.0	1.1750881316098707
6.0	1.1163337250293772
7.0	1.0575793184488838
8.0	1.0428907168037602
9.0	1.028202115158637
10.0	0.9841363102232668
11.0	0.9694477085781434
12.0	0.9400705052878966
13.0	0.9106933019976499
14.0	0.8960047003525264
15.0	0.8519388954171562
16.0	0.7931844888366627
17.0	0.763807285546416
18.0	0.763807285546416
19.0	0.7344300822561692
20.0	0.381903642773208
21.0	0.2790834312573443
22.0	0.23501762632197415
23.0	0.23501762632197415
24.0	0.190951821386604
25.0	0.190951821386604
26.0	0.13219741480611047
27.0	0.13219741480611047
28.0	0.13219741480611047
29.0	0.13219741480611047
30.0	0.13219741480611047
31.0	0.13219741480611047
32.0	0.13219741480611047
33.0	0.11750881316098707
34.0	0.11750881316098707
35.0	0.11750881316098707
36.0	0.11750881316098707
37.0	0.11750881316098707
38.0	0.11750881316098707
39.0	0.11750881316098707
40.0	0.11750881316098707
41.0	0.11750881316098707
42.0	0.13219741480611047
43.0	0.13219741480611047
44.0	0.13219741480611047
45.0	0.13219741480611047
46.0	0.13219741480611047
47.0	0.13219741480611047
48.0	0.13219741480611047
49.0	0.11750881316098707
50.0	0.11750881316098707
51.0	0.1028202115158637
52.0	0.08813160987074031
53.0	0.08813160987074031
54.0	0.08813160987074031
55.0	0.08813160987074031
56.0	0.08813160987074031
57.0	0.08813160987074031
58.0	0.07344300822561692
59.0	0.08813160987074031
60.0	0.08813160987074031
61.0	0.08813160987074031
62.0	0.08813160987074031
63.0	0.07344300822561692
64.0	0.07344300822561692
65.0	0.08813160987074031
66.0	0.08813160987074031
67.0	0.08813160987074031
68.0	0.1028202115158637
69.0	0.1028202115158637
70.0	0.08813160987074031
71.0	0.08813160987074031
72.0	0.07344300822561692
73.0	0.05875440658049354
74.0	0.05875440658049354
75.0	0.05875440658049354
76.0	0.05875440658049354
77.0	0.05875440658049354
78.0	0.05875440658049354
79.0	0.05875440658049354
80.0	0.05875440658049354
81.0	0.05875440658049354
82.0	0.07344300822561692
83.0	0.07344300822561692
84.0	0.07344300822561692
85.0	0.07344300822561692
86.0	0.07344300822561692
87.0	0.07344300822561692
88.0	0.07344300822561692
89.0	0.07344300822561692
90.0	0.07344300822561692
91.0	0.07344300822561692
92.0	0.07344300822561692
93.0	0.07344300822561692
94.0	0.08813160987074031
95.0	0.08813160987074031
96.0	0.1028202115158637
97.0	0.1028202115158637
98.0	0.1028202115158637
99.0	0.1028202115158637
100.0	0.1028202115158637
101.0	0.08813160987074031
102.0	0.08813160987074031
103.0	0.08813160987074031
104.0	0.08813160987074031
105.0	0.08813160987074031
106.0	0.08813160987074031
107.0	0.08813160987074031
108.0	0.08813160987074031
109.0	0.08813160987074031
110.0	0.1028202115158637
111.0	0.08813160987074031
112.0	0.08813160987074031
113.0	0.08813160987074031
114.0	0.08813160987074031
115.0	0.08813160987074031
116.0	0.11750881316098707
117.0	0.39659224441833135
118.0	0.5287896592244419
119.0	0.5728554641598119
120.0	0.5581668625146886
121.0	0.5434782608695652
122.0	0.4847238542890717
123.0	0.4847238542890717
124.0	0.4847238542890717
125.0	0.4847238542890717
126.0	0.4847238542890717
127.0	0.4847238542890717
128.0	0.4847238542890717
129.0	0.45534665099882493
130.0	0.45534665099882493
131.0	0.4406580493537015
132.0	0.4259694477085781
133.0	0.4112808460634548
134.0	0.4259694477085781
135.0	0.39659224441833135
136.0	0.2790834312573443
137.0	0.23501762632197415
138.0	0.2056404230317274
139.0	0.14688601645123384
140.0	0.11750881316098707
141.0	0.1028202115158637
142.0	0.1028202115158637
143.0	0.1028202115158637
144.0	0.1028202115158637
145.0	0.1028202115158637
146.0	0.1028202115158637
147.0	0.1028202115158637
148.0	0.08813160987074031
149.0	0.1028202115158637
150.0	0.1028202115158637
151.0	0.1028202115158637
152.0	0.1028202115158637
153.0	0.1028202115158637
154.0	0.1028202115158637
155.0	0.1028202115158637
156.0	0.1028202115158637
157.0	0.1028202115158637
158.0	0.1028202115158637
159.0	0.11750881316098707
160.0	0.17626321974148063
161.0	0.16157461809635723
162.0	0.16157461809635723
163.0	0.11750881316098707
164.0	0.1028202115158637
165.0	0.1028202115158637
166.0	0.1028202115158637
167.0	0.1028202115158637
168.0	0.1028202115158637
169.0	0.08813160987074031
170.0	0.07344300822561692
171.0	0.08813160987074031
172.0	0.1028202115158637
173.0	0.08813160987074031
174.0	0.11750881316098707
175.0	0.5875440658049353
176.0	0.5728554641598119
177.0	0.5875440658049353
178.0	0.5875440658049353
179.0	0.5141010575793185
180.0	0.4406580493537015
181.0	0.39659224441833135
182.0	0.3672150411280846
183.0	0.381903642773208
184.0	0.381903642773208
185.0	0.35252643948296125
186.0	0.30846063454759104
187.0	0.2937720329024677
188.0	0.30846063454759104
189.0	0.32314923619271446
190.0	0.24970622796709752
191.0	0.16157461809635723
192.0	0.1028202115158637
193.0	0.1028202115158637
194.0	0.11750881316098707
195.0	0.11750881316098707
196.0	0.11750881316098707
197.0	0.1028202115158637
198.0	0.11750881316098707
199.0	0.11750881316098707
200.0	0.1028202115158637
201.0	0.07344300822561692
202.0	0.07344300822561692
203.0	0.05875440658049354
204.0	0.07344300822561692
205.0	0.08813160987074031
206.0	0.08813160987074031
207.0	0.07344300822561692
208.0	0.05875440658049354
209.0	0.05875440658049354
210.0	0.05875440658049354
211.0	0.11750881316098707
212.0	0.13219741480611047
213.0	0.11750881316098707
214.0	0.11750881316098707
215.0	0.1028202115158637
216.0	0.11750881316098707
217.0	0.08813160987074031
218.0	0.14688601645123384
219.0	0.14688601645123384
220.0	0.16157461809635723
221.0	0.190951821386604
222.0	0.13219741480611047
223.0	0.24970622796709752
224.0	0.39659224441833135
225.0	0.6022326674500588
226.0	1.2338425381903642
227.0	1.3072855464159812
228.0	1.2338425381903642
229.0	1.2191539365452408
230.0	1.2485311398354875
231.0	1.2779083431257343
232.0	1.2485311398354875
233.0	1.2338425381903642
234.0	1.2485311398354875
235.0	1.3219741480611047
236.0	1.4541715628672152
237.0	1.5129259694477086
238.0	1.3807285546415982
239.0	1.6745005875440657
240.0	1.7773207990599296
241.0	1.7773207990599296
242.0	1.762632197414806
243.0	1.7479435957696827
244.0	1.7185663924794359
245.0	1.7332549941245594
246.0	1.762632197414806
247.0	1.8507638072855466
248.0	1.9976498237367801
249.0	2.100470035252644
250.0	2.027027027027027
