#Coverage (X)	Coverage
1.0	92.14881474978051
2.0	91.66922739244951
3.0	90.16022827041265
4.0	89.3766461808604
5.0	88.0256804214223
6.0	87.49122036874451
7.0	86.26755926251097
8.0	86.05245829675154
9.0	84.76953467954345
10.0	84.27458296751537
11.0	83.46136962247586
12.0	83.20127304653205
13.0	82.11698858647937
14.0	81.61325724319579
15.0	80.74187884108868
16.0	80.1832748024583
17.0	79.25043898156278
18.0	79.0100965759438
19.0	78.23309920983318
20.0	77.86435469710273
21.0	77.6009657594381
22.0	77.26624231782264
23.0	76.06453028972783
24.0	75.75175592625109
25.0	74.52370500438981
26.0	74.30860403863038
27.0	73.57440737489026
28.0	72.66571553994731
29.0	71.92164179104478
30.0	71.49692712906058
31.0	70.76163301141352
32.0	69.83977172958735
33.0	69.0528972783143
34.0	68.8081650570676
35.0	68.1387181738367
36.0	67.68107989464443
37.0	66.85359964881475
38.0	66.14903424056189
39.0	65.32923617208077
40.0	64.8167251975417
41.0	64.04411764705881
42.0	63.51075504828797
43.0	63.19578577699736
44.0	62.93898156277436
45.0	62.527436347673394
46.0	62.20697980684811
47.0	61.20171202809482
48.0	60.86918349429324
49.0	60.48068481123793
50.0	60.36325724319579
51.0	60.160228270412645
