#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	7.017543859649122E-5
21.0	4.2105263157894734E-4
22.0	3.508771929824561E-4
23.0	0.0011228070175438596
24.0	6.315789473684211E-4
25.0	0.0014736842105263158
26.0	0.0024561403508771926
27.0	0.006947368421052632
28.0	0.013122807017543859
29.0	0.017403508771929824
30.0	0.016701754385964912
31.0	0.01375438596491228
32.0	0.026035087719298248
33.0	0.03017543859649123
34.0	0.03663157894736842
35.0	0.05024561403508772
36.0	0.040771929824561404
37.0	0.0545263157894737
38.0	0.04112280701754385
39.0	0.036561403508771934
40.0	0.030596491228070177
41.0	0.03312280701754386
42.0	0.028491228070175442
43.0	0.020421052631578947
44.0	0.029122807017543863
45.0	0.03901754385964912
46.0	0.024842105263157888
47.0	0.024280701754385965
48.0	0.026035087719298244
49.0	0.022736842105263156
50.0	0.017403508771929827
51.0	0.017894736842105265
52.0	0.016
53.0	0.015789473684210523
54.0	0.028140350877192986
55.0	0.02456140350877193
56.0	0.009684210526315788
57.0	0.026877192982456145
58.0	0.028631578947368425
59.0	0.021894736842105265
60.0	0.014736842105263158
61.0	0.008982456140350877
62.0	0.012000000000000002
63.0	0.023719298245614036
64.0	0.011298245614035089
65.0	0.010245614035087718
66.0	0.00631578947368421
67.0	0.006245614035087719
68.0	0.011789473684210525
69.0	0.005403508771929824
70.0	0.0032280701754385964
71.0	0.0016842105263157893
72.0	5.614035087719298E-4
73.0	8.421052631578948E-4
74.0	0.0010526315789473684
75.0	0.0029473684210526313
76.0	0.0011929824561403505
77.0	9.824561403508768E-4
78.0	3.508771929824561E-4
79.0	1.4035087719298245E-4
80.0	0.0
81.0	7.017543859649122E-5
82.0	7.017543859649122E-5
83.0	7.017543859649122E-5
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
